issue_description,status,priority,metadata
Application crashes when submitting a form.,in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-20T14:36:15.189829"", ""last_updated"": ""2025-02-10T14:36:15.189830""}"
Users unable to reset passwords via the portal.,in_progress,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.189835"", ""last_updated"": ""2025-02-10T14:36:15.189837""}"
"User cannot log in, receiving authentication error.",in_progress,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-06T14:36:15.189842"", ""last_updated"": ""2025-02-10T14:36:15.189844""}"
Email notifications are not being sent to customers.,open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-06T14:36:15.189848"", ""last_updated"": ""2025-02-10T14:36:15.189850""}"
VPN connection drops intermittently for remote workers.,open,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-16T14:36:15.189855"", ""last_updated"": ""2025-02-10T14:36:15.189856""}"
File uploads fail with unknown error message.,resolved,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-05T14:36:15.189861"", ""last_updated"": ""2025-02-10T14:36:15.189862""}"
Email notifications are not being sent to customers.,open,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-26T14:36:15.189870"", ""last_updated"": ""2025-02-10T14:36:15.189871""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-23T14:36:15.189876"", ""last_updated"": ""2025-02-10T14:36:15.189878""}"
VPN connection drops intermittently for remote workers.,open,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-06T14:36:15.189883"", ""last_updated"": ""2025-02-10T14:36:15.189884""}"
Email notifications are not being sent to customers.,in_progress,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-03T14:36:15.189889"", ""last_updated"": ""2025-02-10T14:36:15.189891""}"
Email notifications are not being sent to customers.,resolved,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-24T14:36:15.189895"", ""last_updated"": ""2025-02-10T14:36:15.189897""}"
Slow loading times on the website homepage.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-27T14:36:15.189901"", ""last_updated"": ""2025-02-10T14:36:15.189903""}"
VPN connection drops intermittently for remote workers.,in_progress,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-17T14:36:15.189907"", ""last_updated"": ""2025-02-10T14:36:15.189909""}"
Payment processing fails for international customers.,resolved,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-14T14:36:15.189914"", ""last_updated"": ""2025-02-10T14:36:15.189915""}"
VPN connection drops intermittently for remote workers.,open,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-29T14:36:15.189920"", ""last_updated"": ""2025-02-10T14:36:15.189922""}"
Mobile app freezes when navigating to settings.,resolved,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-02T14:36:15.189926"", ""last_updated"": ""2025-02-10T14:36:15.189928""}"
"User cannot log in, receiving authentication error.",open,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-31T14:36:15.189933"", ""last_updated"": ""2025-02-10T14:36:15.189935""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-20T14:36:15.189941"", ""last_updated"": ""2025-02-10T14:36:15.189943""}"
Database connection errors occur randomly.,in_progress,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-17T14:36:15.189947"", ""last_updated"": ""2025-02-10T14:36:15.189949""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-28T14:36:15.189954"", ""last_updated"": ""2025-02-10T14:36:15.189955""}"
VPN connection drops intermittently for remote workers.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-30T14:36:15.189960"", ""last_updated"": ""2025-02-10T14:36:15.189961""}"
VPN connection drops intermittently for remote workers.,open,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-22T14:36:15.189966"", ""last_updated"": ""2025-02-10T14:36:15.189968""}"
Application crashes when submitting a form.,resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-07T14:36:15.189972"", ""last_updated"": ""2025-02-10T14:36:15.189974""}"
Payment processing fails for international customers.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-10T14:36:15.189979"", ""last_updated"": ""2025-02-10T14:36:15.189980""}"
VPN connection drops intermittently for remote workers.,resolved,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-15T14:36:15.189985"", ""last_updated"": ""2025-02-10T14:36:15.189986""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-14T14:36:15.189991"", ""last_updated"": ""2025-02-10T14:36:15.189993""}"
File uploads fail with unknown error message.,open,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-23T14:36:15.189997"", ""last_updated"": ""2025-02-10T14:36:15.189999""}"
Slow loading times on the website homepage.,open,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-12T14:36:15.190003"", ""last_updated"": ""2025-02-10T14:36:15.190005""}"
Email notifications are not being sent to customers.,resolved,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-18T14:36:15.190009"", ""last_updated"": ""2025-02-10T14:36:15.190011""}"
Database connection errors occur randomly.,resolved,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-14T14:36:15.190016"", ""last_updated"": ""2025-02-10T14:36:15.190017""}"
Mobile app freezes when navigating to settings.,resolved,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-05T14:36:15.190022"", ""last_updated"": ""2025-02-10T14:36:15.190023""}"
Mobile app freezes when navigating to settings.,open,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-22T14:36:15.190028"", ""last_updated"": ""2025-02-10T14:36:15.190030""}"
Email notifications are not being sent to customers.,open,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-31T14:36:15.190034"", ""last_updated"": ""2025-02-10T14:36:15.190036""}"
Database connection errors occur randomly.,resolved,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-21T14:36:15.190040"", ""last_updated"": ""2025-02-10T14:36:15.190042""}"
Users unable to reset passwords via the portal.,open,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-14T14:36:15.190046"", ""last_updated"": ""2025-02-10T14:36:15.190048""}"
"User cannot log in, receiving authentication error.",resolved,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-11T14:36:15.190053"", ""last_updated"": ""2025-02-10T14:36:15.190054""}"
VPN connection drops intermittently for remote workers.,open,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-07T14:36:15.190059"", ""last_updated"": ""2025-02-10T14:36:15.190060""}"
Database connection errors occur randomly.,resolved,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-17T14:36:15.190065"", ""last_updated"": ""2025-02-10T14:36:15.190066""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-28T14:36:15.190071"", ""last_updated"": ""2025-02-10T14:36:15.190072""}"
Users unable to reset passwords via the portal.,in_progress,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-01T14:36:15.190077"", ""last_updated"": ""2025-02-10T14:36:15.190078""}"
VPN connection drops intermittently for remote workers.,resolved,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-25T14:36:15.190083"", ""last_updated"": ""2025-02-10T14:36:15.190084""}"
File uploads fail with unknown error message.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-12T14:36:15.190089"", ""last_updated"": ""2025-02-10T14:36:15.190091""}"
File uploads fail with unknown error message.,in_progress,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-07T14:36:15.190095"", ""last_updated"": ""2025-02-10T14:36:15.190097""}"
Email notifications are not being sent to customers.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-22T14:36:15.190102"", ""last_updated"": ""2025-02-10T14:36:15.190103""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-30T14:36:15.190108"", ""last_updated"": ""2025-02-10T14:36:15.190109""}"
Payment processing fails for international customers.,open,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-06T14:36:15.190114"", ""last_updated"": ""2025-02-10T14:36:15.190116""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-06T14:36:15.190120"", ""last_updated"": ""2025-02-10T14:36:15.190122""}"
Application crashes when submitting a form.,in_progress,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-10T14:36:15.190126"", ""last_updated"": ""2025-02-10T14:36:15.190128""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-24T14:36:15.190132"", ""last_updated"": ""2025-02-10T14:36:15.190134""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-10T14:36:15.190138"", ""last_updated"": ""2025-02-10T14:36:15.190140""}"
Database connection errors occur randomly.,open,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-14T14:36:15.190144"", ""last_updated"": ""2025-02-10T14:36:15.190146""}"
Payment processing fails for international customers.,resolved,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-31T14:36:15.190150"", ""last_updated"": ""2025-02-10T14:36:15.190152""}"
"User cannot log in, receiving authentication error.",resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-10T14:36:15.190156"", ""last_updated"": ""2025-02-10T14:36:15.190158""}"
VPN connection drops intermittently for remote workers.,open,medium,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-19T14:36:15.190162"", ""last_updated"": ""2025-02-10T14:36:15.190164""}"
Users unable to reset passwords via the portal.,in_progress,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-26T14:36:15.190168"", ""last_updated"": ""2025-02-10T14:36:15.190170""}"
Application crashes when submitting a form.,in_progress,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-28T14:36:15.190175"", ""last_updated"": ""2025-02-10T14:36:15.190177""}"
Application crashes when submitting a form.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-04T14:36:15.190181"", ""last_updated"": ""2025-02-10T14:36:15.190183""}"
"User cannot log in, receiving authentication error.",open,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-11T14:36:15.190187"", ""last_updated"": ""2025-02-10T14:36:15.190189""}"
Slow loading times on the website homepage.,in_progress,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-15T14:36:15.190193"", ""last_updated"": ""2025-02-10T14:36:15.190195""}"
"User cannot log in, receiving authentication error.",in_progress,medium,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-11T14:36:15.190200"", ""last_updated"": ""2025-02-10T14:36:15.190201""}"
"User cannot log in, receiving authentication error.",resolved,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-21T14:36:15.190206"", ""last_updated"": ""2025-02-10T14:36:15.190207""}"
Email notifications are not being sent to customers.,resolved,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-21T14:36:15.190212"", ""last_updated"": ""2025-02-10T14:36:15.190213""}"
File uploads fail with unknown error message.,in_progress,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-28T14:36:15.190218"", ""last_updated"": ""2025-02-10T14:36:15.190219""}"
VPN connection drops intermittently for remote workers.,in_progress,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-01T14:36:15.190224"", ""last_updated"": ""2025-02-10T14:36:15.190225""}"
Application crashes when submitting a form.,in_progress,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-30T14:36:15.190230"", ""last_updated"": ""2025-02-10T14:36:15.190231""}"
Email notifications are not being sent to customers.,resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-24T14:36:15.190236"", ""last_updated"": ""2025-02-10T14:36:15.190237""}"
File uploads fail with unknown error message.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-28T14:36:15.190242"", ""last_updated"": ""2025-02-10T14:36:15.190243""}"
VPN connection drops intermittently for remote workers.,in_progress,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-16T14:36:15.190248"", ""last_updated"": ""2025-02-10T14:36:15.190250""}"
File uploads fail with unknown error message.,resolved,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-03T14:36:15.190255"", ""last_updated"": ""2025-02-10T14:36:15.190256""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-07T14:36:15.190261"", ""last_updated"": ""2025-02-10T14:36:15.190263""}"
Email notifications are not being sent to customers.,in_progress,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-03T14:36:15.190267"", ""last_updated"": ""2025-02-10T14:36:15.190269""}"
"User cannot log in, receiving authentication error.",open,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-05T14:36:15.190274"", ""last_updated"": ""2025-02-10T14:36:15.190275""}"
"User cannot log in, receiving authentication error.",open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-28T14:36:15.190280"", ""last_updated"": ""2025-02-10T14:36:15.190281""}"
VPN connection drops intermittently for remote workers.,resolved,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-12T14:36:15.190286"", ""last_updated"": ""2025-02-10T14:36:15.190287""}"
Application crashes when submitting a form.,in_progress,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-05T14:36:15.190292"", ""last_updated"": ""2025-02-10T14:36:15.190293""}"
Slow loading times on the website homepage.,open,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-02T14:36:15.190298"", ""last_updated"": ""2025-02-10T14:36:15.190299""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-19T14:36:15.190304"", ""last_updated"": ""2025-02-10T14:36:15.190305""}"
VPN connection drops intermittently for remote workers.,resolved,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-18T14:36:15.190310"", ""last_updated"": ""2025-02-10T14:36:15.190311""}"
Users unable to reset passwords via the portal.,resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-25T14:36:15.190316"", ""last_updated"": ""2025-02-10T14:36:15.190318""}"
Mobile app freezes when navigating to settings.,open,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-03T14:36:15.190322"", ""last_updated"": ""2025-02-10T14:36:15.190324""}"
Users unable to reset passwords via the portal.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-01T14:36:15.190328"", ""last_updated"": ""2025-02-10T14:36:15.190330""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-25T14:36:15.190334"", ""last_updated"": ""2025-02-10T14:36:15.190336""}"
Mobile app freezes when navigating to settings.,resolved,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-26T14:36:15.190342"", ""last_updated"": ""2025-02-10T14:36:15.190343""}"
Application crashes when submitting a form.,resolved,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-06T14:36:15.190348"", ""last_updated"": ""2025-02-10T14:36:15.190350""}"
Mobile app freezes when navigating to settings.,resolved,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-26T14:36:15.190354"", ""last_updated"": ""2025-02-10T14:36:15.190356""}"
"User cannot log in, receiving authentication error.",resolved,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-21T14:36:15.190360"", ""last_updated"": ""2025-02-10T14:36:15.190362""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-25T14:36:15.190366"", ""last_updated"": ""2025-02-10T14:36:15.190368""}"
Slow loading times on the website homepage.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-23T14:36:15.190372"", ""last_updated"": ""2025-02-10T14:36:15.190374""}"
File uploads fail with unknown error message.,resolved,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-20T14:36:15.190379"", ""last_updated"": ""2025-02-10T14:36:15.190380""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-06T14:36:15.190385"", ""last_updated"": ""2025-02-10T14:36:15.190386""}"
Payment processing fails for international customers.,open,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-11T14:36:15.190391"", ""last_updated"": ""2025-02-10T14:36:15.190392""}"
Users unable to reset passwords via the portal.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-20T14:36:15.190397"", ""last_updated"": ""2025-02-10T14:36:15.190398""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-22T14:36:15.190403"", ""last_updated"": ""2025-02-10T14:36:15.190404""}"
"User cannot log in, receiving authentication error.",open,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-09T14:36:15.190409"", ""last_updated"": ""2025-02-10T14:36:15.190410""}"
Mobile app freezes when navigating to settings.,resolved,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-05T14:36:15.190415"", ""last_updated"": ""2025-02-10T14:36:15.190416""}"
"User cannot log in, receiving authentication error.",in_progress,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-14T14:36:15.190421"", ""last_updated"": ""2025-02-10T14:36:15.190423""}"
